,0,1,2,3,4,5,6
97,4.78,15.47,16.84,6.46,5.94,48.02,2.08
98,4.72,6.38,9.16,15.67,10.91,39.68,2.52
99,4.6,6.36,4.91,15.73,20.35,36.28,2.76
100,4.16,8.97,7.4,11.15,13.52,63.82,1.57
101,3.98,15.29,14.17,6.54,7.06,39.98,2.5
102,3.75,10.88,13.3,9.19,7.52,43.43,2.3
103,3.53,5.84,6.12,17.12,16.34,32.22,3.1
104,3.17,9.48,9.26,10.55,10.8,34.8,2.87
105,2.87,10.04,11.81,9.96,8.47,22.83,4.38
106,31.78,5.36,3.47,18.65,28.8,353.14,0.28
107,30.53,1.99,2.13,50.19,46.9,284.04,0.35
108,29.78,3.55,3.2,28.17,31.28,247.49,0.4
109,27.5,5.26,2.41,19.01,41.53,217.79,0.46
110,24.12,1.97,2.22,50.82,45,325.5,0.31
111,23.83,8.9,5.92,11.23,16.89,245.11,0.41
112,23.49,2.69,4.52,37.12,22.11,150.42,0.66
113,21.57,7.52,9.19,13.3,10.88,325.71,0.31
114,21.51,4.12,3.75,24.3,26.65,413.22,0.24
115,19.46,3.35,3.31,29.82,30.23,213.92,0.47
116,19.28,2.83,4.03,35.4,24.8,186.42,0.54
117,18.89,2.11,2.15,47.42,46.42,111.14,0.9
118,18.24,3.35,3.43,29.83,29.12,189.12,0.53
119,17.87,1.67,2.36,60.01,42.33,105.62,0.95
120,16.94,6.3,5.17,15.87,19.35,289.69,0.35
121,16.68,3.57,3.46,27.99,28.93,306.78,0.33
122,16.6,3.53,4.61,28.35,21.69,106.28,0.94
123,16.37,4.74,7.11,21.1,14.07,167.36,0.6
124,15.49,4.1,4.37,24.38,22.9,162.79,0.61
125,15.47,3.45,3.7,28.98,27.01,183.81,0.54
126,15.47,5.45,4.82,18.35,20.75,334.8,0.3
127,15.46,5.3,5.59,18.87,17.88,128.32,0.78
128,15.36,13.07,6.36,7.65,15.73,289.15,0.35
129,15.34,2.48,3.95,40.3,25.3,155.37,0.64
130,15.19,3.22,9.37,31.08,10.67,281.38,0.36
131,15,9.93,9.11,10.07,10.98,223.83,0.45
132,14.2,3.25,3.57,30.77,28.02,119.65,0.84
133,14,4.83,4.97,20.69,20.13,199.68,0.5
134,13.72,9.95,8.02,10.05,12.48,185.08,0.54
135,13.41,5.73,6.14,17.46,16.3,196.43,0.51
136,13.39,5.54,5.84,18.05,17.13,161.54,0.62
137,13.09,9.24,17.48,10.82,5.72,162.13,0.62
138,12.9,5.43,6.78,18.41,14.74,224.48,0.45
139,12.85,3.72,5.35,26.89,18.68,148.83,0.67
140,12.46,8.21,5.77,12.18,17.32,144.27,0.69
141,12.37,3.77,4.08,26.53,24.48,107.49,0.93
142,12.21,5.28,3.4,18.95,29.45,151.19,0.66
143,12.15,2.92,3.25,34.25,30.74,112.21,0.89
144,12.06,3.33,4.09,30.06,24.45,92.81,1.08
145,12.01,4.59,6.98,21.79,14.34,211.39,0.47
146,11.97,5.18,5.06,19.32,19.77,255.32,0.39
147,11.65,2.42,2.45,41.29,40.73,88.43,1.13
148,11.5,4.38,4.36,22.82,22.91,113.5,0.88
149,11.44,7.98,8.07,12.54,12.39,109.2,0.92
150,11.17,4.67,4.41,21.4,22.69,78.92,1.27
151,11.14,4.68,5.66,21.39,17.66,120.26,0.83
152,10.86,4.19,4.38,23.85,22.84,78.43,1.27
153,10.77,3.41,3.64,29.28,27.48,85.7,1.17
154,10.76,5.63,6,17.75,16.67,114.06,0.88
155,10.67,3.03,3.53,32.99,28.35,99.25,1.01
156,10.59,2.89,3.16,34.54,31.66,77.98,1.28
157,10.43,7.44,6.91,13.45,14.47,174.11,0.57
158,10.27,3.81,4.35,26.22,22.99,103.12,0.97
159,9.9,3.34,4.74,29.98,21.07,71.36,1.4
160,9.85,3.25,3.9,30.81,25.64,119.78,0.83
161,9.81,3.09,3.7,32.39,27,70.08,1.43
162,9.77,8.3,7.83,12.05,12.76,120.01,0.83
163,9.41,7.19,6.43,13.91,15.55,76.57,1.31
164,9.4,5.46,5.88,18.31,17.01,75.46,1.33
165,8.93,6.24,5.24,16.03,19.1,295.08,0.34
166,8.92,3.55,9.76,28.17,10.24,129.25,0.77
167,8.82,8.38,6.68,11.93,14.98,99.79,1
168,8.77,3.36,3.81,29.77,26.24,55.84,1.79
169,8.76,10.91,8.1,9.16,12.35,75.16,1.33
170,8.4,2.78,3.31,36.03,30.2,59.84,1.67
171,8.03,5.92,6.45,16.88,15.5,86.71,1.15
172,7.66,6.11,6.69,16.38,14.94,55.39,1.81
173,7.53,7.56,2.93,13.23,34.16,160.66,0.62
174,7.53,9.23,9.97,10.83,10.03,116.62,0.86
175,7.5,4.18,4.35,23.93,22.99,55.86,1.79
176,7.25,4,3.91,25,25.55,61.99,1.61
177,7.21,11.77,9.21,8.5,10.86,79.94,1.25
178,7.19,15.65,12.65,6.39,7.9,83.28,1.2
179,6.95,5.02,5.11,19.92,19.58,65.53,1.53
180,6.85,4.2,4.38,23.81,22.86,53.24,1.88
181,6.84,3.55,4,28.16,24.97,43.73,2.29
182,6.82,4.96,5.63,20.14,17.77,51.86,1.93
183,6.61,10.36,8.93,9.65,11.2,71.33,1.4
184,6.58,7.52,6.56,13.3,15.25,85.02,1.18
185,6.55,5.83,5.24,17.15,19.1,118.32,0.85
186,6.48,4.02,4.84,24.86,20.67,43.41,2.3
187,6.17,5.41,5.71,18.5,17.5,47.74,2.09
188,6.05,5.02,5.06,19.93,19.76,47.03,2.13
189,5.94,3.06,5.21,32.64,19.18,41.9,2.39
190,5.92,5.09,6.55,19.64,15.27,48.66,2.06
191,5.72,5.7,5.27,17.55,18.96,50.31,1.99
192,5.62,6.88,7.89,14.53,12.68,72.42,1.38
193,5.59,4.49,9.46,22.29,10.57,48.07,2.08
194,5.56,8.65,7.49,11.56,13.35,51.73,1.93
195,5.44,10.7,12.4,9.35,8.07,88.96,1.12
196,5.38,3.94,5.3,25.41,18.87,33.3,3
197,5.21,4.24,4.87,23.57,20.55,38.36,2.61
198,5.2,6.79,13.26,14.72,7.54,64.98,1.54
199,5.17,7.04,6.99,14.2,14.31,70.77,1.41
200,5.14,5.6,6.14,17.87,16.28,38.59,2.59
201,5.13,15.8,19.59,6.33,5.11,67.73,1.48
202,4.88,8.54,10.18,11.71,9.82,53.79,1.86
203,4.78,15.47,16.84,6.46,5.94,48.02,2.08
204,4.72,6.38,9.16,15.67,10.91,39.68,2.52
205,4.6,6.36,4.91,15.73,20.35,36.28,2.76
206,4.16,8.97,7.4,11.15,13.52,63.82,1.57
207,3.98,15.29,14.17,6.54,7.06,39.98,2.5
208,3.75,10.88,13.3,9.19,7.52,43.43,2.3
209,3.53,5.84,6.12,17.12,16.34,32.22,3.1
210,3.17,9.48,9.26,10.55,10.8,34.8,2.87
211,2.87,10.04,11.81,9.96,8.47,22.83,4.38
